Date/Time,Type,Profit USD
2021-01-13 14:00:00+00:00,Short Exit (SL),-532.7999999999884
2021-01-13 14:45:00+00:00,Short Entry,
2021-01-13 14:45:00+00:00,Short Exit (SL),-606.1333333333096
2021-01-13 15:00:00+00:00,Long Entry,
2021-01-13 16:00:00+00:00,Long Exit (TP),1381.1999999999898
2021-01-13 16:30:00+00:00,Long Entry,
2021-01-13 17:15:00+00:00,Long Exit,146.6666666666788
2021-01-13 17:15:00+00:00,Short Entry,
2021-01-13 17:30:00+00:00,Short Exit,43.33333333332121
2021-01-13 17:30:00+00:00,Long Entry,
2021-01-13 18:45:00+00:00,Long Exit,-348.3333333333212
2021-01-13 18:45:00+00:00,Short Entry,
2021-01-13 19:00:00+00:00,Short Exit,13.333333333321207
2021-01-13 19:00:00+00:00,Long Entry,
2021-01-13 19:30:00+00:00,Long Exit (TP),505.6000000000131
2021-01-13 19:45:00+00:00,Short Entry,
2021-01-13 20:00:00+00:00,Short Exit,45.0
2021-01-13 20:00:00+00:00,Long Entry,
2021-01-13 20:15:00+00:00,Long Exit (SL),-400.466666666689
2021-01-14 05:15:00+00:00,Short Entry,
2021-01-14 05:45:00+00:00,Short Exit (SL),-231.5333333333183
2021-01-14 06:30:00+00:00,Short Entry,
2021-01-14 08:15:00+00:00,Short Exit,-11.666666666678793
2021-01-14 08:15:00+00:00,Long Entry,
2021-01-14 08:45:00+00:00,Long Exit (TP),431.5333333333183
2021-01-14 09:15:00+00:00,Short Entry,
2021-01-14 10:00:00+00:00,Short Exit (TP),412.0000000000073
2021-01-14 10:30:00+00:00,Short Entry,
2021-01-14 10:45:00+00:00,Short Exit,38.33333333332121
2021-01-14 10:45:00+00:00,Long Entry,
2021-01-14 11:30:00+00:00,Long Exit,-56.66666666664241
2021-01-14 11:30:00+00:00,Short Entry,
2021-01-14 11:45:00+00:00,Short Exit (SL),-377.8666666666686
2021-01-14 12:30:00+00:00,Long Entry,
2021-01-14 13:45:00+00:00,Long Exit (TP),395.53333333333285
2021-01-14 14:00:00+00:00,Long Entry,
2021-01-14 14:30:00+00:00,Long Exit (TP),383.8000000000102
2021-01-14 15:00:00+00:00,Long Entry,
2021-01-14 15:15:00+00:00,Long Exit,-50.0
2021-01-14 15:15:00+00:00,Short Entry,
2021-01-14 15:30:00+00:00,Short Exit,-178.3333333333212
2021-01-14 15:30:00+00:00,Long Entry,
2021-01-14 16:30:00+00:00,Long Exit,-36.66666666667879
2021-01-14 16:30:00+00:00,Short Entry,
2021-01-14 17:00:00+00:00,Short Exit (TP),719.2666666666628
2021-01-14 17:45:00+00:00,Short Entry,
2021-01-14 17:45:00+00:00,Short Exit (SL),-591.3999999999942
2021-01-14 18:30:00+00:00,Short Entry,
2021-01-14 20:15:00+00:00,Short Exit (TP),835.6666666666933
2021-01-15 05:30:00+00:00,Short Entry,
2021-01-15 06:30:00+00:00,Short Exit,-113.3333333333212
2021-01-15 06:30:00+00:00,Long Entry,
2021-01-15 07:30:00+00:00,Long Exit,-205.0
2021-01-15 07:30:00+00:00,Short Entry,
2021-01-15 07:30:00+00:00,Short Exit (SL),-322.66666666666424
2021-01-15 08:15:00+00:00,Long Entry,
2021-01-15 08:30:00+00:00,Long Exit,100.0
2021-01-15 08:30:00+00:00,Short Entry,
2021-01-15 08:45:00+00:00,Short Exit,-133.3333333333576
2021-01-15 08:45:00+00:00,Long Entry,
2021-01-15 09:30:00+00:00,Long Exit,-13.333333333321207
2021-01-15 09:30:00+00:00,Short Entry,
2021-01-15 10:15:00+00:00,Short Exit (TP),379.19999999998254
2021-01-15 10:45:00+00:00,Long Entry,
2021-01-15 10:45:00+00:00,Long Exit (SL),-299.13333333333867
2021-01-15 11:00:00+00:00,Short Entry,
2021-01-15 12:15:00+00:00,Short Exit (SL),-332.33333333333576
2021-01-15 13:30:00+00:00,Long Entry,
2021-01-15 13:45:00+00:00,Long Exit,55.0
2021-01-15 13:45:00+00:00,Short Entry,
2021-01-15 14:00:00+00:00,Short Exit (TP),410.99999999998545
2021-01-15 14:30:00+00:00,Long Entry,
2021-01-15 14:30:00+00:00,Long Exit (TP),626.8000000000029
2021-01-15 14:45:00+00:00,Long Entry,
2021-01-15 15:00:00+00:00,Long Exit,-8.333333333357587
2021-01-15 15:00:00+00:00,Short Entry,
2021-01-15 15:00:00+00:00,Short Exit (TP),1001.0666666666657
2021-01-15 15:30:00+00:00,Short Entry,
2021-01-15 16:30:00+00:00,Short Exit (SL),-1357.6666666666642
2021-01-15 17:45:00+00:00,Long Entry,
2021-01-15 20:00:00+00:00,Long Exit,118.33333333335759
2021-01-15 20:00:00+00:00,Short Entry,
2021-01-15 20:45:00+00:00,Short Exit (TP),788.5333333333256
2021-01-18 05:45:00+00:00,Long Entry,
2021-01-18 06:15:00+00:00,Long Exit,95.0
2021-01-18 06:15:00+00:00,Short Entry,
2021-01-18 06:30:00+00:00,Short Exit,-73.3333333333212
2021-01-18 06:30:00+00:00,Long Entry,
2021-01-18 06:45:00+00:00,Long Exit,23.333333333321207
2021-01-18 06:45:00+00:00,Short Entry,
2021-01-18 07:00:00+00:00,Short Exit (TP),290.06666666668025
2021-01-18 07:30:00+00:00,Long Entry,
2021-01-18 07:45:00+00:00,Long Exit,81.66666666664241
2021-01-18 07:45:00+00:00,Short Entry,
2021-01-18 07:45:00+00:00,Short Exit (SL),-181.93333333332703
2021-01-18 08:00:00+00:00,Long Entry,
2021-01-18 08:15:00+00:00,Long Exit (TP),356.8000000000029
2021-01-18 09:15:00+00:00,Long Entry,
2021-01-18 09:45:00+00:00,Long Exit,-30.0
2021-01-18 09:45:00+00:00,Short Entry,
2021-01-18 10:15:00+00:00,Short Exit,-43.33333333332121
2021-01-18 10:15:00+00:00,Long Entry,
2021-01-18 11:00:00+00:00,Long Exit,-26.666666666678793
2021-01-18 11:00:00+00:00,Short Entry,
2021-01-18 11:00:00+00:00,Short Exit (SL),-164.13333333333867
2021-01-18 11:15:00+00:00,Long Entry,
2021-01-18 11:45:00+00:00,Long Exit,106.6666666666788
2021-01-18 11:45:00+00:00,Short Entry,
2021-01-18 12:30:00+00:00,Short Exit,-38.33333333335759
2021-01-18 12:30:00+00:00,Long Entry,
2021-01-18 13:00:00+00:00,Long Exit,41.66666666667879
2021-01-18 13:00:00+00:00,Short Entry,
2021-01-18 13:15:00+00:00,Short Exit (SL),-163.60000000000582
2021-01-18 13:30:00+00:00,Short Entry,
2021-01-18 13:45:00+00:00,Short Exit,-20.0
2021-01-18 13:45:00+00:00,Long Entry,
2021-01-18 14:00:00+00:00,Long Exit (SL),-134.46666666666715
2021-01-18 14:15:00+00:00,Short Entry,
2021-01-18 14:30:00+00:00,Short Exit,15.0
2021-01-18 14:30:00+00:00,Long Entry,
2021-01-18 14:30:00+00:00,Long Exit (SL),-166.46666666667443
2021-01-18 14:45:00+00:00,Short Entry,
2021-01-18 14:45:00+00:00,Short Exit (SL),-262.7333333333081
2021-01-18 15:30:00+00:00,Short Entry,
2021-01-18 15:45:00+00:00,Short Exit,-118.33333333335759
2021-01-18 15:45:00+00:00,Long Entry,
2021-01-18 16:30:00+00:00,Long Exit,11.666666666678793
2021-01-18 16:30:00+00:00,Short Entry,
2021-01-18 17:00:00+00:00,Short Exit,-31.666666666678793
2021-01-18 17:00:00+00:00,Long Entry,
2021-01-18 17:15:00+00:00,Long Exit,-43.33333333332121
2021-01-18 17:15:00+00:00,Short Entry,
2021-01-18 23:00:00+00:00,Short Exit (SL),-159.79999999999563
2021-01-19 05:15:00+00:00,Long Entry,
2021-01-19 05:30:00+00:00,Long Exit (SL),-203.53333333332557
2021-01-19 05:45:00+00:00,Short Entry,
2021-01-19 06:30:00+00:00,Short Exit,71.6666666666788
2021-01-19 06:30:00+00:00,Long Entry,
2021-01-19 07:00:00+00:00,Long Exit,48.33333333332121
2021-01-19 07:00:00+00:00,Short Entry,
2021-01-19 07:30:00+00:00,Short Exit (SL),-213.8000000000102
2021-01-19 07:45:00+00:00,Long Entry,
2021-01-19 08:15:00+00:00,Long Exit (SL),-267.8666666666686
2021-01-19 09:15:00+00:00,Short Entry,
2021-01-19 10:00:00+00:00,Short Exit (SL),-256.8000000000029
2021-01-19 10:30:00+00:00,Short Entry,
2021-01-19 10:45:00+00:00,Short Exit,-60.0
2021-01-19 10:45:00+00:00,Long Entry,
2021-01-19 11:00:00+00:00,Long Exit,-13.333333333321207
2021-01-19 11:00:00+00:00,Short Entry,
2021-01-19 11:15:00+00:00,Short Exit,-73.33333333335759
2021-01-19 11:15:00+00:00,Long Entry,
2021-01-19 11:45:00+00:00,Long Exit,38.33333333335759
2021-01-19 11:45:00+00:00,Short Entry,
2021-01-19 12:00:00+00:00,Short Exit,-31.666666666678793
2021-01-19 12:00:00+00:00,Long Entry,
2021-01-19 12:00:00+00:00,Long Exit (SL),-126.39999999999418
2021-01-19 12:15:00+00:00,Short Entry,
2021-01-19 12:30:00+00:00,Short Exit (TP),299.0666666666948
2021-01-19 12:45:00+00:00,Short Entry,
2021-01-19 13:45:00+00:00,Short Exit,46.66666666664241
2021-01-19 13:45:00+00:00,Long Entry,
2021-01-19 13:45:00+00:00,Long Exit (SL),-220.46666666668898
2021-01-19 14:00:00+00:00,Short Entry,
2021-01-19 14:15:00+00:00,Short Exit,-56.66666666667879
2021-01-19 14:15:00+00:00,Long Entry,
2021-01-19 14:30:00+00:00,Long Exit,18.333333333321207
2021-01-19 14:30:00+00:00,Short Entry,
2021-01-19 14:30:00+00:00,Short Exit (SL),-252.1333333333314
2021-01-19 15:00:00+00:00,Short Entry,
2021-01-19 15:15:00+00:00,Short Exit,-186.6666666666788
2021-01-19 15:15:00+00:00,Long Entry,
